,counts,coupon_name
0,82946,-
1,11168,[WELCOME] 프로그래밍 3만원할인
2,3192,[20% 할인] 입문자를 위한 풀스택 웹 개발 Kit : 기획부터 프로젝트까지 기수강자 대상
3,3187,[WELCOME] 디자인 3만원할인
4,2305,[20% 할인 쿠폰] [한 번에 끝내는 AWS 기반 아키텍처 설계와 DevOps 초격차 패키지] 특별 할인 쿠폰
5,1945,[100% 쿠폰] 디마즈 1기 강의 100% 수강권
6,1728,[데이터 기획전] 데이터 공부라도 할걸 그랬어 6만원 할인
7,1651,[WELCOME] 데이터사이언스 3만원할인
8,1584,[WELCOME] 업무생산성 3만원할인
9,1490,[WELCOME] 부동산/금융 3만원할인
10,1407,[WELCOME] 영상/3D 3만원할인
11,1387,[WELCOME] The RED 3만원할인
12,1383,"[120,000원 할인 쿠폰] [한 번에 끝내는 AWS 기반 아키텍처 설계와 DevOps 초격차 패키지] 특별 할인 쿠폰"
13,1353,패스트캠퍼스 50% 할인 쿠폰(사용기한 : ~23년 01월 07일)
14,1345,[2만원 할인] 랜선사수 피도리와 함께하는 생존 PPT 마스터
15,1237,[20% 할인] 한 번에 끝내는 Java/Spring 웹 개발 Essential 20% 할인쿠폰
16,1223,[무료수강권] 후와리의 스토리가 느껴지는 라이트 노벨 일러스트
17,1213,[50% 할인]  35개 프로젝트로 배우는 Android 앱 개발 feat. Jetpack Compose 초격차 패키지 Online.
18,1203,[30개글감으로에세이작가되기 출판 수강생 전용]글쓰기 카테고리 the red 수강권
19,1173,[VIP] 온라인 강의 5만원 할인 쿠폰
20,1108,[실패를삽니다] 온라인 강의 30% 즉시할인 쿠폰
21,1106,서비스 기획 초격차 패키지_오픈지연 프로그래밍 3만원 보상 할인 쿠폰
22,1014,[WELCOME] 마케팅 3만원할인
23,1013,패스트캠퍼스 50% 할인 쿠폰(사용기한 : ~22년 12월 31일)
24,980,[WELCOME] 부업/창업 3만원할인
25,943,[무료수강권] Solana&Rust 블록체인 개발 아카데미 Lv.1
26,764,[10만 원 할인] 입문자를 위한 풀스택 웹 개발 Kit : 기획부터 프로젝트까지 기수강자 대상
27,747,[무료 업그레이드] 디지털 마케팅 초격차 시그니처 플러스 무료 업그레이드 쿠폰
28,722,[15% 할인쿠폰] 일잘러 필수 스킬 모음.zip
29,654,2022 Winter Internship coupon
